År;DagMånad;Totalt;M Tot;M 0-64 år;M 65-79 år;M 80-89 år;M 90+ år;K Tot;K 0-64 år;K 65-79 år;K 80-89 år;K 90+ år;-;Sort;Dag;Månad;Ar;;;;;-;Sort;Dag;Månad
2020;10 september;195;90;10;38;27;15;105;7;28;39;31;;0910;10;september;2020;;;;;;430;30;april
2020;9 september;237;115;13;37;45;20;122;8;29;42;43;;0909;9;september;2020;;;;;;501;1;maj
2020;8 september;194;93;11;42;28;12;101;8;29;29;35;;0908;8;september;2020;;;;;;502;2;maj
2020;7 september;220;98;15;34;35;14;122;14;28;41;39;;0907;7;september;2020;;;;;;503;3;maj
2020;6 september;228;113;15;47;39;12;115;7;31;45;32;;0906;6;september;2020;;;;;;504;4;maj
2020;5 september;227;123;20;41;42;20;104;5;31;30;38;;0905;5;september;2020;;;;;;505;5;maj
2020;4 september;210;111;17;32;41;21;99;12;25;40;22;;0904;4;september;2020;;;;;;506;6;maj
2020;3 september;239;120;24;44;43;9;119;8;33;43;35;;0903;3;september;2020;;;;;;507;7;maj
2020;2 september;217;101;20;25;33;23;116;10;29;37;40;;0902;2;september;2020;;;;;;508;8;maj
2020;1 september;217;112;17;43;33;19;105;5;28;43;29;;0901;1;september;2020;;;;;;509;9;maj
2020;31 augusti;179;86;9;32;33;12;93;16;17;35;25;;0831;31;augusti;2020;;;;;;510;10;maj
2020;30 augusti;207;88;14;23;29;22;119;13;32;41;33;;0830;30;augusti;2020;;;;;;511;11;maj
2020;29 augusti;207;96;14;28;32;22;111;9;27;50;25;;0829;29;augusti;2020;;;;;;512;12;maj
2020;28 augusti;211;110;13;46;37;14;101;11;31;28;31;;0828;28;augusti;2020;;;;;;513;13;maj
2020;27 augusti;208;101;17;27;33;24;107;10;23;42;32;;0827;27;augusti;2020;;;;;;514;14;maj
2020;26 augusti;224;105;10;36;42;17;119;14;33;40;32;;0826;26;augusti;2020;;;;;;515;15;maj
2020;25 augusti;226;105;8;33;51;13;121;9;26;42;44;;0825;25;augusti;2020;;;;;;516;16;maj
2020;24 augusti;202;103;21;35;31;16;99;7;24;28;40;;0824;24;augusti;2020;;;;;;517;17;maj
2020;23 augusti;203;103;11;39;37;16;100;13;26;32;29;;0823;23;augusti;2020;;;;;;518;18;maj
2020;22 augusti;246;111;14;38;38;21;135;5;29;55;46;;0822;22;augusti;2020;;;;;;519;19;maj
2020;21 augusti;243;121;19;46;41;15;122;10;27;45;40;;0821;21;augusti;2020;;;;;;520;20;maj
2020;20 augusti;206;105;15;29;39;22;101;9;30;37;25;;0820;20;augusti;2020;;;;;;521;21;maj
2020;19 augusti;214;95;10;32;34;19;119;6;30;37;46;;0819;19;augusti;2020;;;;;;522;22;maj
2020;18 augusti;246;114;15;40;44;15;132;17;26;52;37;;0818;18;augusti;2020;;;;;;523;23;maj
2020;17 augusti;220;105;11;39;35;20;115;17;23;37;38;;0817;17;augusti;2020;;;;;;524;24;maj
2020;16 augusti;189;88;10;35;29;14;101;8;29;27;37;;0816;16;augusti;2020;;;;;;525;25;maj
2020;15 augusti;212;95;14;32;36;13;117;11;37;30;39;;0815;15;augusti;2020;;;;;;526;26;maj
2020;14 augusti;200;105;13;25;54;13;95;9;24;26;36;;0814;14;augusti;2020;;;;;;527;27;maj
2020;13 augusti;264;140;21;43;50;26;124;11;31;41;41;;0813;13;augusti;2020;;;;;;528;28;maj
2020;12 augusti;216;101;16;39;37;9;115;11;27;45;32;;0812;12;augusti;2020;;;;;;529;29;maj
2020;11 augusti;232;126;12;49;44;21;106;14;25;44;23;;0811;11;augusti;2020;;;;;;530;30;maj
2020;10 augusti;204;99;16;29;41;13;105;7;30;37;31;;0810;10;augusti;2020;;;;;;531;31;maj
